,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
188,2.203125,4.3285569999999994e-19,1.4811279999999998e-17,5.965162e-16,8.805984e-15,0.00010762230765903762,6.419845000000001e-20,
68,2.203125,3.774339e-19,1.2943139999999999e-17,5.120584e-16,6.9739989999999995e-15,2.600062805336266e-06,1.3313839999999997e-21,
96,2.203125,3.7602699999999998e-19,1.3017939999999998e-17,5.510324000000001e-16,1.240848e-14,7.16308877663092e-05,3.9470940000000004e-20,
76,2.25,3.4604309999999996e-19,1.1854199999999998e-17,4.863956e-16,7.86426e-15,6.344640041974065e-05,3.086005e-20,
32,2.25,3.7296489999999997e-19,1.282397e-17,5.217842999999999e-16,1.068278e-14,6.878462997066029e-06,3.589074e-21,
52,2.25,3.440324e-19,1.1964769999999999e-17,5.266944e-16,1.598879e-14,0.0002743492241421211,1.444982e-19,
136,2.25,3.900642e-19,1.3551929999999999e-17,5.903023e-16,1.5736849999999997e-14,5.7930318076009524e-05,3.41964e-20,
64,2.25,3.4991589999999997e-19,1.209096e-17,5.09189e-16,1.027069e-14,1.081315582229781e-05,5.5059399999999995e-21,
24,2.25,3.9651229999999997e-19,1.35601e-17,5.490706999999999e-16,9.848438999999999e-15,9.606220109723577e-06,5.274494e-21,
104,2.296875,3.505829e-19,1.2052099999999999e-17,5.024731e-16,1.025493e-14,3.464366550169551e-05,1.740751e-20,
20,2.296875,3.9445749999999995e-19,1.3589249999999999e-17,5.735887999999999e-16,1.284605e-14,1.3915390258666137e-05,7.981711999999998e-21,
92,2.296875,4.009234e-19,1.3886139999999998e-17,5.969093e-16,1.42983e-14,3.326021222989824e-05,1.9853329999999997e-20,
80,2.34375,3.8114e-19,1.32405e-17,5.644263999999999e-16,1.3257159999999999e-14,9.636074783178108e-05,5.438855e-20,
128,2.34375,3.733762e-19,1.2964559999999999e-17,5.53805e-16,1.2490270000000001e-14,4.498818176072806e-06,2.491468e-21,
0,2.34375,3.7051520000000003e-19,1.278388e-17,5.367351e-16,1.235e-14,0.00013572164369350914,7.284656999999999e-20,
116,2.4375,3.751869e-19,1.294453e-17,5.30934e-16,9.252712999999999e-15,2.5831892476277655e-05,1.3715029999999998e-20,
120,2.484375,4.3339140000000007e-19,1.488787e-17,6.21132e-16,1.266746e-14,0.00018579400191907677,1.154026e-19,
40,2.625,3.611853e-19,1.250369e-17,5.271722e-16,1.106219e-14,3.3838506658735044e-06,1.7838720000000004e-21,
113,3.46875,6.2737499999999995e-18,2.101165e-16,5.881491999999999e-15,6.8330179999999995e-15,5.0713747464078846e-05,2.982725e-19,
49,3.65625,6.482677999999999e-18,2.154598e-16,5.829310999999999e-15,1.1795489999999999e-14,0.00013324626186525304,7.767338999999999e-19,
149,3.796875,7.232277e-18,2.394115e-16,6.970501999999999e-15,1.901552e-15,7.466502412595249e-05,5.204527e-19,
93,3.796875,6.808421999999999e-18,2.269959e-16,5.947864e-15,1.202984e-14,0.00014317373430192755,8.515779000000001e-19,
1,3.796875,7.323489999999998e-18,2.4740399999999996e-16,7.442319e-15,5.052507e-14,1.1569547072626152e-05,8.610426e-20,
