Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
2.4,8.067295903607476e-05,0.00031542659525314045,0.010363912616180972,0.017467409167078254,1.2234214287095128e-05,1.2679432820258822e-07,0.00046819351146175863,,,,0.0017311005829999998,5.464667599999989e-05,0.001676453907,0.003554188105,0.00021724296100000037,0.0033369451439999994,0.029658718499999997,0.008714350589999996,0.02094436791,0.2540236718,0.16223438433000004,0.09178928747
2.5,6.092446980606939e-05,0.0002386881114142756,0.008050751903004744,0.01902531515246505,4.058348728520597e-05,3.2672758785372943e-07,0.00040405276594622714,,,,0.001571065985,4.116756100000008e-05,0.0015298984239999998,0.003203135851,0.000163857736,0.003039278115,0.02545953203,0.006637744590000001,0.018821787439999998,0.2102735706,0.12922698971,0.08104658089
2.7,3.765687975129131e-05,0.00014812425406760744,0.005248240736666393,0.021589956819721014,9.40283347410222e-06,4.93483331244945e-08,0.00031811097210010275,,,,0.001197877534,2.5380857000000022e-05,0.001172496677,0.002430329495,0.0001012099189999999,0.002329119576,0.01860319571,0.0041837379599999995,0.01441945775,0.1522327809,0.08988017670000001,0.0623526042
2.8000000000000003,0.00012524205930063202,0.00048730434642892004,0.015025893054807391,0.008043975825884349,1.6535887487902856e-05,2.4846647750402566e-07,0.0005824865403409053,,,,0.002230555648,8.513286699999992e-05,0.002145422781,0.004609742268,0.0003374724380000001,0.00427226983,0.04003964321,0.013184430570000003,0.02685521264,0.33450405029999997,0.21827417279999997,0.1162298775
3.0,0.000197634119304999,0.00076453706553504,0.021844905977538524,0.0028015669341074326,1.1007017571126359e-05,2.404472647405793e-07,0.000732882084018301,,,,0.0028778817509999997,0.00013464093199999985,0.002743240819,0.0059960992199999995,0.0005327293259999996,0.005463369894,0.05455546435999999,0.020206277909999994,0.03434918645,0.45177007129999996,0.3038094765,0.14796059479999998
3.2,0.00031344719064857403,0.0012036507648362762,0.031172699628834642,0.00687650173547522,1.8740400817813662e-05,5.841888882472597e-07,0.0009253569818020107,,,,0.003723522121,0.00021440944000000002,0.003509112681,0.007838084119,0.0008457857059999997,0.006992298413,0.07486780379,0.030870672700000004,0.04399713109,0.6120931555,0.4236583837,0.18843477179999998
3.6,0.0004020442378131011,0.001531360045048793,0.03577432249680206,0.01648351323485875,4.248959454746164e-05,1.5200364693857751e-06,0.001048572607947347,,,,0.0043543090659999995,0.00027639067899999994,0.004077918387,0.009211335192,0.0010856383560000002,0.008125696836,0.08900600932,0.038003899919999994,0.0510021094,0.7083268048,0.4913209791,0.2170058257
3.7,0.0004801354167562133,0.0018281919893499178,0.04225123812964826,0.018075240171673522,1.6769331305744725e-05,7.085250039736223e-07,0.0011493913951654557,,,,0.004686231542,0.0003300196970000011,0.004356211844999999,0.009986660074999999,0.0012969235100000007,0.008689736564999998,0.1001996676,0.04528924099,0.05491042661,0.808206392,0.5731851039,0.2350212881
4.0,0.0005778514918322466,0.0021814706457529676,0.045286449829381466,0.021053584122757756,2.520227655004888e-05,1.1413216381653814e-06,0.0012610454693457378,,,,0.00536593448,0.0003988865980000004,0.0049670478819999996,0.011463193339999999,0.0015612399499999978,0.00990195339,0.1143284317,0.05224326629,0.06208516541,0.8934346938,0.6312872345,0.2621474593
4.1,0.0007491255945143537,0.00282501160756607,0.056923668972842734,0.030556434780219858,1.9183474221205357e-05,1.0919937337118244e-06,0.001442002831225174,,,,0.005995863965999999,0.0005175705959999995,0.00547829337,0.012964496709999999,0.0020260054899999998,0.010938491219999999,0.1366207992,0.06733599892000001,0.06928480027999999,1.087775274,0.7922691040000001,0.29550616999999996
4.4,0.0013569631454277997,0.005033272850827068,0.07939223517707909,0.030623105773750044,2.2293858242719295e-05,1.769959251567111e-06,0.001951320006528357,,,,0.008589928889,0.0009463773260000013,0.007643551562999999,0.01894269826,0.0036776016900000024,0.01526509657,0.2085357923,0.11236121104999999,0.09617458125,1.603923949,1.1994128542999998,0.4045110947
4.6000000000000005,0.0013267936005002584,0.004896875780739777,0.07353037377609552,0.02700690732026822,5.002165588773224e-05,3.6781111268858405e-06,0.001927353261433286,,,,0.008618007557999999,0.0009277918159999992,0.007690215742,0.01895318594,0.00359535238,0.015357833559999999,0.203943328,0.10745937114000001,0.09648395686,1.5427917239999998,1.1382063302999996,0.4045853937
4.8,0.002260604210594812,0.008231457133287238,0.09823143215913868,0.01967155262927615,3.332617269065159e-05,3.2736776145376626e-06,0.002538626305524745,,,,0.01154586964,0.0015926691880000007,0.009953200451999999,0.02605667462,0.00613966317,0.01991701145,0.297401684,0.171590648,0.125811036,2.231381538,1.7031655089,0.5282160291
5.1000000000000005,0.0026652867659908786,0.009587814954836649,0.09605614188568704,0.036047946290068446,6.923231657134237e-05,6.6501893219675835e-06,0.0027593595143296404,,,,0.01304799317,0.0018894203899999986,0.01115857278,0.029570047729999997,0.007243273919999998,0.02232677381,0.33191654039999996,0.19172364159999997,0.1401928988,2.439351414,1.8551363253,0.5842150886999999
5.2,0.0028621792611888117,0.010313375519639657,0.10482303138566934,0.026169996288547354,5.610993028935328e-05,5.881613054151897e-06,0.0028676903759209823,,,,0.013426777809999998,0.002027272319999999,0.01139950549,0.03059578811,0.007781381110000003,0.022814407,0.35075591999999994,0.20718664819999996,0.14356927179999998,2.595599623,1.9957652646000001,0.5998343584
5.4,0.003391328342172006,0.01202652214833519,0.09570653142391392,0.08698457559945606,7.826365244213567e-05,7.490342687162442e-06,0.0031360049464297744,,,,0.01509283396,0.002421693170000001,0.012671140789999999,0.03458621388,0.009227349550000003,0.025358864329999998,0.3883848789,0.22960973040000002,0.1587751485,2.818882365,2.1588237741,0.6600585909
5.7,0.0032181757124436264,0.01145877484074173,0.0979306016473945,0.05710528150218876,0.00011700415006579428,1.145828699615394e-05,0.003047283239916218,,,,0.01469267223,0.0022933269999999995,0.01239934523,0.03356305749,0.008754128600000001,0.024808928889999998,0.37711873279999997,0.22182507419999997,0.1552936586,2.745291319,2.1001825452,0.6451087738
6.1000000000000005,0.0035594534459951928,0.012599172024958437,0.09809980501892197,0.05643839309731628,0.00012014504243707291,1.178620554167046e-05,0.0032114778186483513,,,,0.01567505091,0.0025446018799999987,0.01313044903,0.03596195639,0.009689514870000002,0.02627244152,0.40406754599999994,0.23994492489999997,0.16412262109999998,2.9346234289999997,2.2536839661999997,0.6809394628
6.7,0.005691921743720775,0.01936963673210723,0.0785229362457479,0.08274377850624502,0.00034063131640906864,2.6747370812907052e-05,0.004114074458462698,,,,0.02161841953,0.00415250453,0.017465915,0.050508554239999996,0.01554039543,0.03496815881,0.5486078591,0.33199333610000004,0.21661452299999998,3.885905223,2.9945291742,0.8913760488
7.4,0.006936941860470887,0.023253639821130996,0.0698770706949317,0.09284381511345842,0.0004608542842927122,3.220314652494473e-05,0.0045678274925304695,,,,0.02473066827,0.005099487889999997,0.019631180380000002,0.058243917129999996,0.018964619129999992,0.039279298000000004,0.6266451371999999,0.3844411756999999,0.24220396149999998,4.407954474,3.4147136329000003,0.9932408410999999
7.6000000000000005,0.009045204118126626,0.029575970419753465,0.06017906178098488,0.10798061935410856,0.0012650792322766464,7.613128481227792e-05,0.0052718549517709315,,,,0.029542603179999998,0.0067373064,0.022805296779999998,0.07044280937,0.02479097869,0.04565183068,0.74839848,0.4673299306,0.2810685494,5.226106679999999,4.075467407999999,1.150639272
8.1,0.011106187593803437,0.034638373954568265,0.040255047359187494,0.13916448237806545,0.002125681017911868,8.556939180934206e-05,0.00595857680065341,,,,0.03467135964,0.008472342890000005,0.026199016749999998,0.08297762529,0.030543006490000003,0.05243461879999999,0.8391319986,0.5182961283,0.3208358703,5.7805766169999995,4.468335793,1.3122408239999999
8.6,0.01587706272608315,0.04718667588173203,0.02342070240244642,0.3075153364423867,0.0058257198488788995,0.00013644244983835457,0.007274192106530382,,,,0.04498739839,0.012413588150000002,0.03257381024,0.1089862779,0.04389320601999999,0.06509307188,1.0720724369999999,0.6761880235999999,0.3958844134,7.327979082,5.715652447,1.6123266349999998
9.0,0.021861794344589354,0.06178950985578772,0.014813892202550721,0.27009188591080735,0.013762587213838917,0.00020387750443821994,0.008631771122635844,,,,0.06015975075,0.017514872129999998,0.04264487862,0.145879065,0.060752788929999996,0.08512627607,1.365100864,0.8573207181,0.5077801459,9.095129458,7.0822335800000005,2.012895878
9.6,0.03302724303629888,0.08739715112006638,0.021131752533522393,0.39037156883332796,0.01125825580520103,0.00023790670000973875,0.010891533171608887,,,,0.08329691098,0.027347876060000005,0.055949034919999995,0.2035622135,0.09257033180000002,0.11099188169999999,1.8563867209999998,1.2015188400999999,0.6548678808999999,12.25710195,9.680090171,2.577011779
10.0,0.03458292826373194,0.09043029486986975,0.024327550370515486,0.47553726195817053,0.012287717588155734,0.000298930016298906,0.011250739136404349,,,,0.0837375279,0.028798734519999994,0.05493879338,0.2066968349,0.09711751119999999,0.1095793237,1.904777341,1.2503984853,0.6543788556999999,12.64001274,10.028578607,2.611434133
10.9,0.04823445057906365,0.11620305436951216,0.04142289402495676,0.9653926340818759,0.010345201639415515,0.0004285282100824434,0.013673355565290977,,,,0.1129706071,0.04180956056999999,0.07116104653000001,0.2783144865,0.13705988700000002,0.1412545995,2.481160543,1.6491829045000002,0.8319776385,16.15157734,12.892659200999999,3.258918139
11.5,0.05803588005866078,0.13718206245808046,0.0627377475497409,0.4265198373590558,0.004873764075264992,0.0003057689439678387,0.015265489554307652,,,,0.1236388012,0.050853392260000005,0.07278540893999999,0.31137277669999996,0.1657112371,0.14566153959999997,2.852737274,1.9759068662,0.8768304078,18.5635265,15.080081305999999,3.483445194
11.9,0.06435957387019813,0.14943450394206242,0.04194886866154516,0.6592240694228371,0.006709275717313849,0.0002814465636374231,0.01634942832051133,,,,0.12848919169999998,0.05694173550999998,0.07154745619,0.32805039669999997,0.18448831079999997,0.1435620859,3.057288763,2.180047115,0.877241648,20.03525856,16.494203160999998,3.541055399
12.6,0.07591907109689355,0.16664056155689663,0.06293940529638371,0.9571620374391189,0.009066552101442655,0.0005706433971517165,0.017966636439287698,,,,0.1563862203,0.06899523318999999,0.08739098711,0.3944677806,0.2195370284,0.17493075219999998,3.5469610869999997,2.4963645119999995,1.050596575,22.86222818,18.699829999,4.1623981809999995
13.0,0.09284641354295424,0.17823704576953422,0.04830825307016122,0.8314321907185164,0.013724102098673743,0.0006629873505132057,0.02115532191684803,,,,0.18657068859999998,0.09008934447999999,0.09648134411999999,0.46837762369999997,0.27536088999999997,0.1930167337,4.131080729,2.961176783,1.169903946,26.902822809999996,22.178471091999995,4.724351718
14.4,0.12045845991092108,0.1899372834723463,0.08717238011210966,2.0543619391452075,0.01646730854433015,0.0014354943869296548,0.02576488921008271,,,,0.254915397,0.12813421349999998,0.1267811835,0.6257565694,0.3724575634,0.253299006,5.3133205310000005,3.7883392680000005,1.524981263,34.683831319999996,28.481190170999994,6.202641149
15.1,0.13836792950775004,0.22733121407258536,0.07354154876768426,1.4208391238694065,0.020062502215513624,0.0014754272098771632,0.0273116868869473,,,,0.27118842649999997,0.14404952229999998,0.12713890419999999,0.6780873305999999,0.42341135969999993,0.2546759709,5.857419053999999,4.312093459,1.545325595,37.357124289999994,31.119881701999994,6.237242588
