,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
3700,3.7,0.0003436837350571739,0.0013097894496999821,0.030657432011601492,0.013621833994692592,1.2490031941588957e-05,3.829123023952294e-07,0.0011493913951654557
4000,4.0,0.00041171417243946135,0.0015557533708533302,0.03273996408652172,0.016552723684833806,1.9116913968452927e-05,6.258870790670966e-07,0.0012610307973254776
4100,4.1,0.0005362015816134988,0.0020234924309082505,0.04128371983595137,0.024128929919456695,1.3760924606720077e-05,5.681021562376008e-07,0.001442002831225174
4400,4.4,0.0009679038329039638,0.0035921485369810446,0.05745077110338973,0.02648829451021691,1.5772778411690063e-05,9.061582887025205e-07,0.001951320006528357
4600,4.6000000000000005,0.0009434024651480534,0.0034841572369261387,0.05311702864288094,0.022274055205406568,3.784986558772487e-05,2.010472429816312e-06,0.001927301909362375
4800,4.8,0.001611116230221037,0.0058671830656796195,0.07095880044233954,0.016108384168941735,2.4487856598550922e-05,1.7376289043999085e-06,0.002538626305524745
5100,5.1000000000000005,0.0018908476277443964,0.0068030868512246115,0.06925194587650058,0.027900607211227647,5.0048279194477974e-05,3.465940754648982e-06,0.0027593595143296404
5200,5.2,0.0020364005509145864,0.007338177593472323,0.07574484432153337,0.01974456947671279,4.0263436751586405e-05,3.0497477768597718e-06,0.0028676903759209823
5400,5.4,0.0024066648741305897,0.008534346956671714,0.06905410510149841,0.06710998075527493,5.9273302203565706e-05,4.093064840544481e-06,0.0031360049464297744
5700,5.7,0.0022816729936557,0.008124288901329702,0.07058079049835161,0.04464397362072203,8.782264152059424e-05,6.198591538405201e-06,0.003047283239916218
6100,6.1000000000000005,0.0025227618984629222,0.008929871286490781,0.07081208901640972,0.04339047705049028,9.140549921096413e-05,6.472614509198102e-06,0.0032114778186483513
6700,6.7,0.004010582620392594,0.01364492004724273,0.05660553565540687,0.06764868227430994,0.00025202454784776265,1.4265984365510573e-05,0.004114074458462698
7400,7.4,0.004880366730273762,0.016353196292120138,0.05040641714785286,0.07633095196906074,0.00033277648396018894,1.6774069878353936e-05,0.0045678274925304695
7600,7.6000000000000005,0.006355729757381302,0.02077232239185285,0.043619452671712404,0.08611717385118073,0.0009574153214784669,4.176193392164499e-05,0.0052718549517709315
8100,8.1,0.007780117698183605,0.024239788458055786,0.028720043845608768,0.11132949714303705,0.0016357383778699986,4.6978478608457834e-05,0.00595857680065341
8600,8.6,0.011099220200538402,0.03295090197323783,0.016729739251499325,0.24515437121737876,0.004423704321594782,7.400741937523336e-05,0.007274192106530382
9000,9.0,0.01506686907763267,0.042446233219269235,0.01016534564592864,0.21821609815374107,0.011103179061182729,0.00011286766451500632,0.008631771122635844
9600,9.6,0.02266476278008129,0.05975438640240129,0.015285143201832503,0.31955473402358114,0.008660205791131243,0.00013237249851615968,0.010891533171608887
10000,10.0,0.023869919937365893,0.0621539815703867,0.017754848470540662,0.38503385234943266,0.009171102589107315,0.00016283150898406694,0.011250739136404349
10900,10.9,0.03300303688733694,0.07915372574159595,0.03114721194866273,0.7669453021380376,0.007247797584203477,0.00022574869592682578,0.013673355565290977
11500,11.5,0.040103639258192963,0.09425369834078343,0.04655613506374008,0.3402474319004513,0.0035814755273482863,0.00016673964198130422,0.015265489554307652
11900,11.9,0.045080903085556956,0.10432220433858037,0.031212803690791456,0.5296603096693181,0.004934948002632967,0.00015403358078375934,0.01634942832051133
12600,12.6,0.05224454872833252,0.11392639407738632,0.04830172522351841,0.7768107130819556,0.006383797607286632,0.0003083484384076559,0.017966636439287698
13000,13.0,0.06464795125462791,0.12375328995267919,0.03535153288755848,0.6939590066331038,0.009841785828893885,0.0003479221952942996,0.02115532191684803
14400,14.4,0.0824289333021761,0.1286977329994402,0.06319137021345532,1.7241340414487143,0.011986043310228634,0.0007574144594883074,0.02576488921008271
15100,15.1,0.0955053759874716,0.155400129340253,0.05303462617626172,1.170413109809565,0.015556156715131391,0.0008250148068667534,0.0273116868869473
