,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
24,B,2.0,7.033345e-05,0.01196433,,,0.9855666999999999,5.671295e-09,8.000889e-07,9.348250999999999e-07,,1.1385419999999999e-08,2.490623e-06,2.1650129999999997e-06,,8.853953e-08,2.8815199999999998e-05,4.221981e-06,,7.50594e-07,0.0001607805,9.990538000000001e-06,
25,B,2.0,5.4537869999999996e-05,0.01077271,,,0.9885369,4.2584809999999995e-09,4.968638e-07,6.220095e-07,,8.554454e-09,1.631847e-06,1.654484e-06,,6.611429e-08,1.990956e-05,1.9577789999999998e-06,,5.309664e-07,0.0001172251,8.416693e-06,
26,B,2.0,6.079801e-05,0.01116551,,,0.9862867000000001,4.729343e-09,5.881807e-07,6.651654000000001e-07,,9.503315e-09,1.8706039999999998e-06,1.5273740000000001e-06,,7.694838000000001e-08,2.333393e-05,1.5883930000000001e-06,,6.295093e-07,0.0001386659,1.785603e-05,
27,B,2.0,6.617142e-05,0.01125364,,,0.9880971,5.162293e-09,6.553242e-07,6.315053000000001e-07,,1.038309e-08,1.989049e-06,1.097054e-06,,8.873625e-08,2.9362379999999997e-05,8.340796e-06,,6.783613000000002e-07,0.0001448341,4.416997e-06,
28,B,2.0,5.286299e-05,0.01032998,,,0.9869273000000001,4.118652e-09,4.654987e-07,5.635726e-07,,8.29668e-09,1.534889e-06,1.4474369999999999e-06,,6.58276e-08,2.0086170000000002e-05,7.078173000000001e-06,,5.773941e-07,0.0001183312,4.3892959999999995e-06,
29,B,2.0,8.964493000000001e-05,0.01318381,,,0.9865417,7.159929000000001e-09,1.220429e-06,1.413321e-06,,1.420349e-08,3.571912e-06,3.011389e-06,,1.1053289999999998e-07,3.604897e-05,4.398343e-06,,8.45234e-07,0.0001959066,1.594571e-06,
30,B,2.0,5.90485e-05,0.01190435,,,0.9883196,4.614867e-09,5.369032e-07,5.391239e-07,,9.314389999999998e-09,1.694842e-06,1.154463e-06,,7.663803999999999e-08,2.414038e-05,2.315731e-06,,6.87135e-07,0.0001360275,8.765275e-06,
31,B,2.0,1.744529e-05,0.006416908000000001,,,0.9923626,1.318322e-09,5.5890069999999995e-08,7.391492e-08,,2.650795e-09,2.0571920000000003e-07,2.3904329999999996e-07,,2.312002e-08,4.838849e-06,1.4272550000000002e-07,,2.099183e-07,4.4290519999999993e-05,9.464766e-07,
32,B,2.0,1.198545e-05,0.0051749890000000005,,,0.9951099,8.927589e-10,2.697657e-08,3.766698999999999e-08,,1.7839929999999999e-09,1.018725e-07,1.3252750000000002e-07,,1.4871909999999999e-08,2.9031209999999997e-06,1.123135e-06,,1.254078e-07,2.727373e-05,1.561147e-06,
33,B,2.0,8.305589e-05,0.01330413,,,0.9881336,6.753899e-09,1.08729e-06,1.398675e-06,,1.3285530000000001e-08,3.193989e-06,3.2802679999999997e-06,,9.572369999999999e-08,2.6970529999999997e-05,7.562745e-06,,8.593380999999999e-07,0.00017849549999999999,2.8469529999999998e-06,
34,B,2.0,6.769007e-05,0.01158382,,,0.9873033000000001,5.2791660000000005e-09,7.165527e-07,8.329126e-07,,1.056132e-08,2.221547e-06,1.8880789999999998e-06,,8.403909000000001e-08,2.6119320000000004e-05,2.103402e-06,,7.091991999999999e-07,0.0001573317,3.95981e-06,
35,B,2.0,6.723134e-05,0.01229901,,,0.9874059999999999,5.373021999999999e-09,7.460297e-07,9.748782e-07,,1.06826e-08,2.354526e-06,2.580649e-06,,7.571167e-08,2.047395e-05,2.321103e-06,,7.180670999999999e-07,0.0001459176,1.0764160000000002e-05,
36,B,2.0,7.142350999999999e-05,0.01283389,,,0.9873485000000001,5.83686e-09,8.691874e-07,1.167196e-06,,1.1734700000000001e-08,2.794212e-06,3.270028e-06,,9.240048e-08,2.850627e-05,4.1765350000000005e-06,,8.228037e-07,0.00016520189999999997,1.1365830000000001e-05,
37,B,2.0,8.966552e-05,0.01466413,,,0.9878089,7.159429000000001e-09,1.103489e-06,1.004753e-06,,1.4357959999999999e-08,3.120682e-06,1.662062e-06,,1.178381e-07,3.92082e-05,2.463785e-05,,8.923177e-07,0.00019905919999999998,1.5175420000000002e-05,
38,B,2.0,6.057477e-05,0.01078497,,,0.9855785,5.037496e-09,6.61752e-07,8.968309000000001e-07,,1.015433e-08,2.2080670000000002e-06,2.7170470000000002e-06,,7.129534e-08,2.06537e-05,7.0382939999999994e-06,,6.314105999999999e-07,0.0001251267,1.758643e-06,
39,B,2.0,9.898905e-05,0.01503046,,,0.9873569999999999,8.001991999999999e-09,1.438663e-06,1.8599039999999999e-06,,1.570394e-08,3.991361e-06,4.033641e-06,,1.210958e-07,3.980236e-05,3.531018e-05,,9.378814e-07,0.0002092019,5.812666000000001e-06,
40,B,2.0,1.3894360000000001e-05,0.006027884,,,0.9921419,1.0368530000000001e-09,3.5727629999999995e-08,4.8957259999999996e-08,,2.071843e-09,1.33093e-07,1.664998e-07,,1.705661e-08,3.2923410000000003e-06,4.6914099999999995e-07,,1.6223400000000002e-07,3.132285e-05,1.870403e-06,
